timestamp                  ,actionName                    ,odoo-version ,userId ,ipAddr     ,id            ,stageId ,partnerId             ,text
2019-09-28 16:55:24.565124 ,Reference channel in chat     ,          10 ,     2 ,172.19.0.1 ,12            ,        ,                      ,"<a href=""http://localhost:8010/web#model=mail.channel&amp;id=11"" class=""o_channel_redirect"" data-oe-id=""11"" data-oe-model=""mail.channel"" target=""_blank"">#new123</a>  delete it "
2019-09-28 16:55:29.823593 ,Mention user in chat          ,          10 ,     2 ,172.19.0.1 ,12            ,        ,[3]                   ,"<a href=""http://localhost:8010/web#model=res.partner&amp;id=3"" class=""o_mail_redirect"" data-oe-id=""3"" data-oe-model=""res.partner"" target=""_blank"">@Administrator</a>  kkkk"
2019-09-28 16:56:00.217195 ,Unfollow from a Channel       ,          10 ,     2 ,172.19.0.1 ,11            ,        ,                      ,
2019-09-28 16:57:17.776524 ,Open Note                     ,          10 ,     2 ,172.19.0.1 ,32            ,        ,                      ,
2019-09-28 16:57:31.526892 ,Invite and Add follower       ,          10 ,     2 ,172.19.0.1 ,32            ,        ,"[6, False, [1]]"     ,"<div><p style=""margin:0px 0px 9px 0px;font-size:13px;font-family:&quot;Lucida Grande&quot;, Helvetica, Verdana, Arial, sans-serif;"">Hello,</p><p style=""margin:0px 0px 9px 0px;font-size:13px;font-family:&quot;Lucida Grande&quot;, Helvetica, Verdana, Arial, sans-serif;"">Administrator invited you to follow Note document: test note 1</p></div>"
2019-09-28 16:57:41.590879 ,Open Note                     ,          10 ,     2 ,172.19.0.1 ,32            ,        ,                      ,
2019-09-28 16:57:45.724655 ,Open Note                     ,          10 ,     2 ,172.19.0.1 ,32            ,        ,                      ,
2019-09-28 16:58:01.398076 ,Open Note                     ,          10 ,     2 ,172.19.0.1 ,32            ,        ,                      ,
2019-09-28 16:58:08.117046 ,Remove follower from note     ,          10 ,     2 ,172.19.0.1 ,32            ,        ,                      ,
2019-09-28 16:58:33.450041 ,Open Note                     ,          10 ,     2 ,172.19.0.1 ,34            ,        ,                      ,
2019-09-28 16:58:40.328153 ,Change Tag Colour             ,          10 ,     2 ,172.19.0.1 ,7             ,        ,                      ,
2019-09-28 16:58:43.913418 ,Add tag                       ,          10 ,     2 ,172.19.0.1 ,[6]           ,        ,                      ,
